user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
AmalBr11,2020-07-11 13:16:28,1281940420122103809, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281940420122103809
EshakAbdul,2020-07-11 13:13:35,1281939696671535104, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281939696671535104
suriyaonly3,2020-07-11 13:10:05,1281938815888748545, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938815888748545
anthony_kabil,2020-07-11 13:09:41,1281938715502243840, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938715502243840
veriyan_akash,2020-07-11 13:09:41,1281938713878999040, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938713878999040
14Pranesh,2020-07-11 13:09:32,1281938677283778563, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938677283778563
ajaiemoboy,2020-07-11 13:09:21,1281938631226036225, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938631226036225
IntrovertRamu,2020-07-11 13:08:28,1281938410379210752, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938410379210752
Praveensfc10,2020-07-11 13:08:07,1281938318301765632, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938318301765632
indar_01,2020-07-11 13:07:42,1281938216526864384, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281938216526864384
