user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 MUNCHmma , 2020-07-10 23:56:58 , 1281739219413749761 ,USMAN vs MASVIDAL! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/E8QcFSQ39m,https://video.twimg.com/ext_tw_video/1281613277311770624/pu/vid/640x360/wn6a5R6KsPE7TeEe.mp4?tag=10, 7659 , 1179 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739219413749761 
 Nasonsantiago_ , 2020-07-10 23:56:53 , 1281739201159901185 ,"ONE YEAR AGO.

🤬 @GamebredFighter gave us arguably the most iconic KO of all-time!

#InAbuDhabi @VisitAbuDhabi #UFC251 https://t.co/qkvIY5Y40k", empty , 25641 , 5747 ,InAbuDhabi UFC    , https://twitter.com/id/status/1281739201159901185 
 bubbaagin , 2020-07-10 23:56:48 , 1281739179257470981 ,"❤️ this Tweet for a reminder to stream #UFC251 LIVE from Fight Island on 7/11, only on ESPN+ PPV #ESPNPlus #UFCFightIsland https://t.co/TikuZaPBIi", empty , 20732 , 2453 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739179257470981 
 EricSama_MMA , 2020-07-10 23:56:46 , 1281739168868114433 ,Vanessa Melo 0-2 in the has missed weight all 3 times now.  She better win by flying-triangle-armbar tomorrow or she’s getting cut #UFCFightIsland #UFC251, empty , 4 , 1 , empty , https://twitter.com/id/status/1281739168868114433 
 CCerovec , 2020-07-10 23:56:45 , 1281739166376574976 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281739166376574976 
 hawkins_truth , 2020-07-10 23:56:32 , 1281739113113153537 ,@ufc shit @josealdojunior doesn’t look good #UFC251 https://t.co/mlFWaOoxjD,https://pbs.twimg.com/media/Ecmm6GxU4AE-WBx.jpg , 0 , 0 ,UFC    , https://twitter.com/id/status/1281739113113153537 
 ASimpNamedPlaya , 2020-07-10 23:56:29 , 1281739101117403138 ,Ready for #UFC251 @GamebredFighter @ufc https://t.co/pFXYnolJoB,https://pbs.twimg.com/media/Ecmm6V5UwAEswdW.jpg , 0 , 0 ,UFC    , https://twitter.com/id/status/1281739101117403138 
 hbroomfieldnews , 2020-07-10 23:56:26 , 1281739087821627392 ,Checkout my preview on tommorows #UFC251 prelims card beginning at 8 p.m. ET on @TSN_Sports https://t.co/32kNmyEyOs, empty , 3 , 3 ,UFC    , https://twitter.com/id/status/1281739087821627392 
 ItsTsunamiTime , 2020-07-10 23:56:26 , 1281739085820973056 ,"❤️ this Tweet for a reminder to stream #UFC251 LIVE from Fight Island on 7/11, only on ESPN+ PPV #ESPNPlus #UFCFightIsland https://t.co/TikuZaPBIi", empty , 20732 , 2453 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739085820973056 
 MUNCHmma , 2020-07-10 23:56:23 , 1281739074739605504 ,"1️⃣ day to go... #UFC251 🏆

#InAbuDhabi | @VisitAbuDhabi https://t.co/gTwy8aTIix",https://pbs.twimg.com/media/EchKAQSWkAEh8OW.jpg , 403 , 46 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739074739605504 
 M_A_V8 , 2020-07-10 23:56:13 , 1281739034147139587 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281739034147139587 
